station,latitude,longitude,elevation
P017,41.28,-119.94,2390.64
P018,42.98,-117.06,1424.25
P019,43.30,-115.31,1682.37
P020,47.00,-118.57,480.12
P021,48.67,-118.73,1163.18
P022,45.23,-118.01,888.13
P023,44.90,-116.10,1521.60
P024,47.56,-115.84,1907.63
P025,48.73,-116.29,695.47
P026,32.66,-107.19,1236.89
P027,32.80,-105.80,2896.75
P028,36.03,-107.91,1933.13
P029,38.44,-107.64,2455.41
P030,41.75,-110.51,2149.79
P031,39.52,-107.91,1657.60
P032,41.74,-107.26,2167.31
P033,43.95,-107.39,1375.89
P034,34.95,-106.46,1810.93
P035,34.60,-105.18,1780.38
P036,36.42,-105.29,2529.91
P037,38.42,-105.10,1616.89
P038,34.15,-103.41,1212.99
P039,36.45,-103.15,1493.62
P040,38.07,-102.69,1102.66
P041,39.95,-105.19,1728.85
P042,42.05,-104.91,1422.44
P043,43.88,-104.19,1490.94
P044,40.17,-103.22,1411.04
P045,45.38,-112.62,1618.21
P046,47.03,-113.33,1290.30
P047,48.42,-113.22,1475.57
P048,45.65,-111.20,1491.98
P049,47.35,-110.91,1186.06
P050,48.81,-111.25,1266.89
P051,45.81,-108.55,1081.09
P052,47.37,-107.02,858.62
P053,48.73,-107.73,814.98
P054,45.85,-104.44,1093.11
P055,47.12,-104.69,667.74
P056,36.03,-119.06,101.14
P057,41.76,-112.62,1382.23
P058,40.88,-124.08,21.43
P059,38.93,-123.73,-11.28
P060,41.00,-122.41,430.82
P062,43.11,-121.09,1350.28
P063,44.92,-120.95,965.40
P064,47.97,-123.49,1570.76
P065,46.84,-120.93,1017.14
P066,32.62,-116.17,822.88
P067,35.55,-121.00,107.01
P068,39.31,-117.98,1455.93
P069,39.29,-117.60,1886.41
P070,36.04,-104.70,1883.55
P071,39.35,-117.40,2085.37
